timestamp,ips_ativos,uso,recomendacao
2026-04-22T23:46:33.451980,9,3.54,OK
2026-04-22T23:50:04.175072,8,3.15,OK
2026-04-22T23:53:15.657677,8,3.15,OK
2026-04-23T00:23:58.269914,9,3.54,OK
2026-04-23T00:28:10.716998,9,3.54,OK
2026-04-23T00:33:57.257256,8,3.15,OK
2026-04-23T00:39:21.631495,8,3.15,OK
2026-04-23T00:54:09.211490,7,2.76,OK
2026-04-23T00:55:13.877335,8,3.15,OK
2026-04-23T01:01:03.144361,7,2.76,OK
2026-04-23T08:36:58.307199,9,3.54,OK
2026-04-23T08:59:31.966120,9,3.54,OK
2026-04-23T09:00:42.519081,10,3.94,OK
2026-04-23T09:00:59.824065,8,3.15,OK
2026-04-23T09:01:55.449961,97,38.19,OK
2026-04-23T09:03:01.148851,9,3.54,OK
2026-04-23T09:32:38.220821,6,2.36,OK
2026-04-23T09:37:05.297133,4,1.57,OK
2026-04-23T09:38:21.563537,5,1.97,OK
2026-04-23T10:33:23.382982,102,40.16,OK
2026-04-23T10:35:20.948481,94,37.01,OK
2026-04-23T10:39:34.742316,108,42.52,OK
2026-04-24T00:26:32.469280,7,2.76,OK
2026-04-24T00:34:13.859291,7,2.76,OK
2026-04-24T00:38:12.301599,8,3.15,OK
2026-04-24T20:33:27.527253,7,2.76,OK
2026-04-27T23:30:52.130940,8,3.15,OK
2026-04-27T23:38:41.204354,8,3.15,OK
2026-04-28T00:11:38.906175,8,3.15,OK
2026-04-28T00:17:03.713233,8,3.15,OK
2026-04-28T00:29:15.204435,8,3.15,OK
2026-04-28T00:32:37.130484,6,2.36,OK
2026-04-28T00:38:47.644590,8,3.15,OK
2026-04-28T00:45:52.539037,8,3.15,OK
2026-04-28T08:52:49.475124,110,43.31,OK
2026-04-28T08:56:27.957382,6,2.36,OK
2026-04-28T11:23:05.588319,6,2.36,OK
2026-04-28T11:41:32.203887,8,3.15,OK
2026-04-28T11:48:08.016825,5,1.97,OK
2026-04-28T11:52:06.448934,101,39.76,OK
2026-04-28T15:12:20.120813,6,2.36,OK
2026-04-28T15:14:21.897388,6,2.36,OK
2026-04-28T15:17:45.484547,6,2.36,OK
2026-04-28T15:49:38.126648,7,2.76,OK
2026-04-28T16:26:27.882723,7,2.76,OK
2026-04-28T22:40:45.410418,8,3.15,OK
2026-04-29T10:04:55.942426,4,1.57,OK
2026-04-29T10:51:05.357131,4,1.57,OK
2026-04-29T10:53:17.540040,5,1.97,OK
2026-04-29T15:34:25.158733,3,1.18,OK
2026-04-29T15:36:02.108106,2,0.79,OK
2026-04-29T18:28:58.980943,Casa,Cabeada/Ethernet,10.24.13.0/24,10.24.0.1,29,11.42,OK
2026-04-29T20:04:22.059219,Casa,Cabeada/Ethernet,10.24.13.0/24,10.24.0.1,90,35.43,OK
2026-04-29T20:23:15.265799,Casa,Cabeada/Ethernet,10.24.13.0/24,10.24.0.1,84,33.07,OK
2026-04-29T20:25:02.710980,Casa,Cabeada/Ethernet,10.24.13.0/24,10.24.0.1,75,29.53,OK
2026-04-30T00:03:44.938418,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,7,2.76,OK
2026-04-30T00:19:38.007876,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,8,3.15,OK
2026-05-01T18:29:56.622576,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,9,3.54,OK
2026-05-01T18:37:43.223645,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,7,2.76,OK
2026-05-01T19:47:33.186134,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,9,3.54,OK
2026-05-01T23:35:45.526435,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,7,2.76,OK
2026-05-01T23:42:30.887865,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,7,2.76,OK
2026-05-01T23:46:46.068472,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,7,2.76,OK
2026-05-05T16:09:04.705474,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,5,1.97,OK
2026-05-05T16:12:00.802525,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,7,2.76,OK
2026-05-05T23:28:41.501900,Casa,Cabeada/Ethernet,192.168.1.0/24,192.168.1.254,7,2.76,2.14,3,1,0,OK
